"","rTg4510_ECX","rTg4510_HIP","J20_ECX","J20_HIP"
"Intercept",0.159138666561877,0.204504163206625,0.047778131826127,0.0276016601585283
"GenotypeTG.Beta",-0.134683974776439,-0.0962172964766897,0.00246293535931767,-0.0386969921760417
"GenotypeTG.SE",0.0993886972939866,0.0636652091624796,0.222495236833154,0.135666417119179
"GenotypeTG.P",0.18382074721586,0.13968884727978,0.991229028597225,0.777097748942429
"Age.Beta",1.13798532649232,0.748890577670976,1.23167300944273,1.02875151057433
"Age.SE",0.152700240739178,0.0970226777646378,0.205931273755676,0.126351115155303
"Age.P",8.44746360318072e-09,4.62718523435366e-09,7.36796261134498e-07,1.10975823049667e-09
"GenotypeTG.Age.Beta",0.328408009614899,0.491561049574692,-0.00881301584548761,0.0401447125706967
"GenotypeTG.Age.SE",0.215948507191318,0.140680940847925,0.29026435674398,0.177106775075778
"GenotypeTG.Age.P",0.13705313608098,0.00130987644485636,0.975946029062619,0.821962905125506
