"","J20_array_genotype","J20_array_pathology","J20_rrbs_genotype","J20_rrbs_interaction","J20_rrbs_pathology","rTg4510_array_genotype","rTg4510_array_interaction","rTg4510_array_pathology","rTg4510_rrbs_genotype","rTg4510_rrbs_interaction","rTg4510_rrbs_pathology","Shireby2022_human_Braak","Shireby2022_human_Cerad","Shireby2022_human_Tau","Smith2021_human_ECX"
"J20_array_genotype",1,0,0.00212314225053079,0.000807102502017756,0.000909090909090909,0.00857959961868446,0.00474683544303797,0.00577557755775578,0.00122549019607843,0.00126903553299492,0.00150206533984228,0,0,0,0
"J20_array_pathology",0,1,0.0028109627547435,0.00240384615384615,0.0018018018018018,0.00564440263405456,0.0078003120124805,0.00654664484451719,0,0.00376411543287327,0.00149588631264024,0,0,0,0
"J20_rrbs_genotype",0.00212314225053079,0.0028109627547435,1,0.561091340450771,0.0640204865556978,0.0583153347732181,0.0480868665977249,0.0709598031173093,0.0589645254074784,0.0561743341404358,0.0908357968288095,0.000703729767769177,0.000706713780918728,0.00975292587776333,0
"J20_rrbs_interaction",0.000807102502017756,0.00240384615384615,0.561091340450771,1,0.0652873563218391,0.0581665891112145,0.0457627118644068,0.0661120840630473,0.0495611770779556,0.0475444096133751,0.0777130169303358,0,0.000807102502017756,0.00879120879120879,0
"J20_rrbs_pathology",0.000909090909090909,0.0018018018018018,0.0640204865556978,0.0652873563218391,1,0.0648379052369077,0.0490196078431373,0.0718954248366013,0.0498891352549889,0.0489038785834739,0.0814558058925477,0.00271739130434783,0.00273224043715847,0.0139230139230139,0
"rTg4510_array_genotype",0.00857959961868446,0.00564440263405456,0.0583153347732181,0.0581665891112145,0.0648379052369077,1,0.24831712789828,0.528493894165536,0.0493197278911565,0.0441008018327606,0.0891701000588582,0.00472143531633617,0.00189393939393939,0.0152931180968564,0
"rTg4510_array_interaction",0.00474683544303797,0.0078003120124805,0.0480868665977249,0.0457627118644068,0.0490196078431373,0.24831712789828,1,0.312769010043042,0.0415754923413567,0.037037037037037,0.0656697009102731,0.00312989045383412,0,0.0117955439056356,0
"rTg4510_array_pathology",0.00577557755775578,0.00654664484451719,0.0709598031173093,0.0661120840630473,0.0718954248366013,0.528493894165536,0.312769010043042,1,0.0506527415143603,0.0458618871903005,0.103428571428571,0.00245499181669394,0.000821018062397373,0.0149700598802395,0
"rTg4510_rrbs_genotype",0.00122549019607843,0,0.0589645254074784,0.0495611770779556,0.0498891352549889,0.0493197278911565,0.0415754923413567,0.0506527415143603,1,0.332771693344566,0.0662557781201849,0.00243605359317905,0,0.0127388535031847,0.00246609124537608
"rTg4510_rrbs_interaction",0.00126903553299492,0.00376411543287327,0.0561743341404358,0.0475444096133751,0.0489038785834739,0.0441008018327606,0.037037037037037,0.0458618871903005,0.332771693344566,1,0.0694920535992521,0.00125944584382872,0,0.0153508771929825,0.00127551020408163
"rTg4510_rrbs_pathology",0.00150206533984228,0.00149588631264024,0.0908357968288095,0.0777130169303358,0.0814558058925477,0.0891701000588582,0.0656697009102731,0.103428571428571,0.0662557781201849,0.0694920535992521,1,0.00224971878515186,0.00075046904315197,0.0130057803468208,0.000751597143930853
"Shireby2022_human_Braak",0,0,0.000703729767769177,0,0.00271739130434783,0.00472143531633617,0.00312989045383412,0.00245499181669394,0.00243605359317905,0.00125944584382872,0.00224971878515186,1,0.363636363636364,0.0705128205128205,0
"Shireby2022_human_Cerad",0,0,0.000706713780918728,0.000807102502017756,0.00273224043715847,0.00189393939393939,0,0.000821018062397373,0,0,0.00075046904315197,0.363636363636364,1,0.0592105263157895,0
"Shireby2022_human_Tau",0,0,0.00975292587776333,0.00879120879120879,0.0139230139230139,0.0152931180968564,0.0117955439056356,0.0149700598802395,0.0127388535031847,0.0153508771929825,0.0130057803468208,0.0705128205128205,0.0592105263157895,1,0.0328947368421053
"Smith2021_human_ECX",0,0,0,0,0,0,0,0,0.00246609124537608,0.00127551020408163,0.000751597143930853,0,0,0.0328947368421053,1
